127.0.0.1 - - [21/May/2021:11:17:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:13 +0900] "GET /ITBiz/biz/getLastWeekPlaner?search_year=21&search_week=21&search_type=1 HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:17 +0900] "POST /ITBiz/biz/copyUsrBizWeekData HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:19 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:44 +0900] "POST /ITBiz/biz/saveUsrBizWeeklyContentData HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:45 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:47 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:48 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:49 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [21/May/2021:11:17:54 +0900] "POST /ITBiz/biz/saveUsrBizWeeklyContentData HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/May/2021:11:18:01 +0900] "POST /ITBiz/biz/saveUsrBizWeeklyContentData HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/May/2021:11:18:02 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [21/May/2021:11:18:11 +0900] "POST /ITBiz/biz/saveUsrBizWeeklyContentData HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/May/2021:11:18:14 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [21/May/2021:11:18:15 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/May/2021:11:18:15 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [21/May/2021:11:18:15 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [21/May/2021:11:18:18 +0900] "POST /ITBiz/biz/copyUsrBizWeekData HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [21/May/2021:11:18:20 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/May/2021:11:18:20 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [21/May/2021:11:18:23 +0900] "POST /ITBiz/biz/deleteUsrBizWeeklyDetail HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [21/May/2021:11:18:25 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/May/2021:11:18:48 +0900] "POST /ITBiz/biz/saveUsrBizWeeklyContentData HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/May/2021:11:18:55 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [21/May/2021:11:19:00 +0900] "POST /ITBiz/biz/deleteUsrBizWeeklyDetail HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [21/May/2021:11:19:13 +0900] "POST /ITBiz/biz/saveUsrBizWeeklyContentData HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/May/2021:11:19:14 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [21/May/2021:11:19:15 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/May/2021:11:19:16 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [21/May/2021:11:19:22 +0900] "GET /ITBiz/biz/getJustWeekBasicSubject HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [21/May/2021:11:19:26 +0900] "POST /ITBiz/biz/insertUsrBizWeeklyData HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [21/May/2021:11:20:20 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/May/2021:11:20:21 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [21/May/2021:11:20:21 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/May/2021:11:20:23 +0900] "POST /ITBiz/biz/saveUsrBizWeeklyContentData HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/May/2021:11:20:25 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [21/May/2021:11:20:25 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [21/May/2021:11:22:18 +0900] "POST /ITBiz/biz/weeklyReportPOP HTTP/1.1" 200 5735
0:0:0:0:0:0:0:1 - - [21/May/2021:13:10:47 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2021:13:10:47 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [21/May/2021:13:10:48 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2021:13:10:48 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [21/May/2021:13:10:49 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2021:13:10:49 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [21/May/2021:13:10:49 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2021:13:10:49 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [21/May/2021:13:10:50 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2021:13:10:50 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [21/May/2021:16:52:24 +0900] "GET /ITBiz/main HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2021:16:52:24 +0900] "GET /ITBiz/user/login;jsessionid=3899882C7252B7F87C5515D88E44F77A HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [21/May/2021:16:52:24 +0900] "GET /ITBiz/user/images/icons/favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2021:16:52:24 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [21/May/2021:16:52:27 +0900] "POST /ITBiz/user/trylogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2021:16:52:27 +0900] "GET /ITBiz/main HTTP/1.1" 200 35897
0:0:0:0:0:0:0:1 - - [21/May/2021:16:52:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2021:16:52:27 +0900] "GET /ITBiz/main/searchAllDataByMonthly HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [21/May/2021:16:52:30 +0900] "GET /ITBiz/biz/weeklyRgst HTTP/1.1" 200 54715
0:0:0:0:0:0:0:1 - - [21/May/2021:16:52:32 +0900] "GET /ITBiz/biz/getLastWeekPlaner?search_year=21&search_week=21&search_type=1 HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [21/May/2021:16:52:32 +0900] "GET /ITBiz/biz/getNextWeekSubject?search_year=21&search_week=21 HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [21/May/2021:16:52:32 +0900] "POST /ITBiz/biz/searchBaseDateScope HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [21/May/2021:16:52:32 +0900] "GET /ITBiz/biz/getThisWeekSubject?search_year=21&search_week=21 HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [21/May/2021:16:52:33 +0900] "POST /ITBiz/biz/weeklyReportPOP HTTP/1.1" 200 5735
0:0:0:0:0:0:0:1 - - [21/May/2021:16:53:45 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [21/May/2021:16:53:45 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [21/May/2021:16:53:46 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [21/May/2021:16:53:46 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/May/2021:16:53:47 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [21/May/2021:16:53:47 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [21/May/2021:16:53:50 +0900] "POST /ITBiz/biz/weeklyReportPOP HTTP/1.1" 200 5735
0:0:0:0:0:0:0:1 - - [21/May/2021:16:56:03 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [21/May/2021:16:57:07 +0900] "POST /ITBiz/biz/saveUsrBizWeeklyContentData HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/May/2021:16:57:11 +0900] "POST /ITBiz/biz/weeklyReportPOP HTTP/1.1" 200 5894
0:0:0:0:0:0:0:1 - - [21/May/2021:16:57:15 +0900] "POST /ITBiz/biz/saveUsrBizWeeklyContentData HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/May/2021:16:57:16 +0900] "POST /ITBiz/biz/weeklyReportPOP HTTP/1.1" 200 5894
0:0:0:0:0:0:0:1 - - [21/May/2021:16:59:00 +0900] "GET /ITBiz/biz/dailyRgst HTTP/1.1" 200 61955
0:0:0:0:0:0:0:1 - - [21/May/2021:16:59:02 +0900] "POST /ITBiz/biz/getBizDailyList HTTP/1.1" 200 4630
0:0:0:0:0:0:0:1 - - [21/May/2021:17:01:02 +0900] "GET /ITBiz/biz/dailyRgst HTTP/1.1" 200 61955
0:0:0:0:0:0:0:1 - - [21/May/2021:17:01:04 +0900] "POST /ITBiz/biz/getBizDailyList HTTP/1.1" 200 4630
0:0:0:0:0:0:0:1 - - [21/May/2021:17:01:08 +0900] "POST /ITBiz/biz/getBizDailySubAll HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [21/May/2021:17:01:08 +0900] "POST /ITBiz/biz/getBizDailySubAll HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [21/May/2021:17:01:13 +0900] "POST /ITBiz/biz/getBizDailyList HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [21/May/2021:17:01:15 +0900] "POST /ITBiz/biz/getBizDailyList HTTP/1.1" 200 4630
0:0:0:0:0:0:0:1 - - [21/May/2021:17:01:18 +0900] "POST /ITBiz/biz/getBizDailySubAll HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [21/May/2021:17:01:21 +0900] "POST /ITBiz/biz/getBizDailySubAll HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [21/May/2021:17:01:21 +0900] "POST /ITBiz/biz/getBizDailySubAll HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [21/May/2021:17:01:22 +0900] "POST /ITBiz/biz/getBizDailySubAll HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [21/May/2021:17:01:22 +0900] "POST /ITBiz/biz/getBizDailySubAll HTTP/1.1" 200 34
